model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
100%,0.492176353931427,0.5149311853689301,0.3467389391627974,0.5142682169969133,0.5155958652774373,0.4477018117904663,0.5525787021409003,0.3817677016071457,0.5968825344538482,0.5143973629418077,False,False,False,False,False,False,False,False,False,False
random_75%,0.47557246685028076,0.5279286256597584,0.3586297749294713,0.5209515976972299,0.5350950751308842,0.4448453187942505,0.5552734543245362,0.38434502085301214,0.5909900259123612,0.5236279216920269,False,False,False,False,False,False,False,False,False,False
random_50%,0.4871450662612915,0.5194963329718048,0.35089162191309275,0.5085380606278281,0.5309372765801386,0.43585580587387085,0.5647051463841855,0.39344190844241694,0.5511819036647766,0.5789086649251594,False,False,False,False,False,False,False,False,False,False
random_25%,0.4964052140712738,0.5234949630598701,0.3545500692261418,0.49160994286003784,0.559802865131152,0.45396560430526733,0.5647018498484345,0.3934387080404185,0.5659129747786584,0.5634958977669658,False,False,False,False,False,False,False,False,False,False
random_3%,0.6596947014331818,0.4592420654026832,0.2980624373826172,0.3793756777421093,0.5817023898070064,0.6228493452072144,0.5145328552131898,0.3463778091753312,0.4432384319640009,0.6131587835671257,False,False,False,False,False,False,False,False,False,False
uniform_75%,0.49330776929855347,0.5170548571630008,0.3486675550073493,0.49267841181157757,0.5439690287275447,0.4489476680755615,0.5562677331537607,0.3852984004914564,0.5350790923632917,0.579203666571183,False,False,False,False,False,False,False,False,False,False
uniform_50%,0.4831790030002594,0.5274013072325217,0.358143267288502,0.49694026314830336,0.5618405572851101,0.43914365768432617,0.5682493888145729,0.3968913191830853,0.5575551852537596,0.5793618558596305,False,False,False,False,False,False,False,False,False,False
uniform_25%,0.47542721033096313,0.528053906547542,0.3587454111916481,0.45835197280128837,0.6227570448724948,0.42707574367523193,0.5745456576197087,0.40306142437386316,0.5384710284985812,0.615800972222816,False,False,False,False,False,False,False,False,False,False
uniform_3%,0.5374490022659302,0.4651044932841371,0.3030202976353077,0.4170553051813565,0.5256668857511955,0.46406543254852295,0.5387896850902921,0.36872836140879917,0.5012732759255171,0.5823760031124812,False,False,False,False,False,False,False,False,False,False
IPAD_eq_75%,0.4906441271305084,0.5124147617399801,0.34446077344739917,0.5063165368362407,0.5186616751106926,0.4392707943916321,0.5611136661124279,0.38996385808767486,0.5810555237550086,0.5424952008790194,False,False,False,False,False,False,False,False,False,False
IPAD_eq_50%,0.4888363182544708,0.5159984471323935,0.3477074846285067,0.4804042413370513,0.5572892307248539,0.433138370513916,0.5677560542560438,0.39641016179065236,0.5489693499898193,0.5878741497325746,False,False,False,False,False,False,False,False,False,False
IPAD_eq_25%,0.5021263360977173,0.5024363888749349,0.33550253568025235,0.5000204054147809,0.5048758326413971,0.4478885531425476,0.5535331954868258,0.38267950136133555,0.5967025309261282,0.516188749748821,False,False,False,False,False,False,False,False,False,False
IPAD_eq_3%,0.5852440595626831,0.4085208933613611,0.25669258971561215,0.33436660494159304,0.5249395800582256,0.5179108381271362,0.48324780458891603,0.31860695903455866,0.44419354029341446,0.5298315070308726,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_75%,0.47846901416778564,0.5233156182722151,0.35438555777227965,0.47326064209116175,0.5852111761954701,0.4279893636703491,0.5721257776530966,0.40068359572507084,0.5527451722832261,0.5929148300320226,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_50%,0.4774375855922699,0.5277279181686223,0.35844455972579126,0.5063933581795594,0.5509392133148451,0.42975914478302,0.5710086349439647,0.3995885831833376,0.5706380416821448,0.5713797098722943,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_25%,0.4874640703201294,0.5147791024493843,0.34660103645076856,0.4684186432288983,0.5713243762787085,0.427066445350647,0.5740425752317813,0.40256641976887114,0.5568740001125502,0.592303449809104,False,False,False,False,False,False,False,False,False,False
