model,val loss,val F1,val IoU,val precision,val recall,test loss,test F1,test IoU,test precision,test recall,is best val loss,is best val F1,is best val IoU,is best val precision,is best val recall,is best test loss,is best test F1,is best test IoU,is best test precision,is best test recall
100%,0.06226927042007446,0.9426615585711393,0.8915419336284134,0.9592954235303898,0.9265947131014071,0.05321091413497925,0.9514450558814835,0.9073869340069063,0.9659293495130327,0.9373887341849884,False,False,False,True,False,False,False,False,True,False
random_75%,0.05760747194290161,0.9451473825985756,0.8959994666618905,0.948897531512987,0.9414267590106185,0.051072388887405396,0.9513357029870566,0.9071880350049856,0.9540651343446044,0.9486218440330375,False,True,True,False,False,False,False,False,False,False
random_50%,0.059486716985702515,0.9422583092231639,0.8908208095032562,0.9548452394957875,0.9299989074711721,0.05495321750640869,0.9464016033241778,0.8982564953687687,0.9531301406694603,0.9397673990632208,False,False,False,False,False,False,False,False,False,False
random_25%,0.05999106168746948,0.9407386544626052,0.888108169363379,0.94583899876162,0.9356930213544953,0.05623781681060791,0.9442752098519703,0.8944331123640354,0.9512515373898821,0.937400463884993,False,False,False,False,False,False,False,False,False,False
random_3%,0.3365969955921173,0.8920879901688417,0.8051975086945691,0.8440917081914382,0.9458716262945029,0.3225080966949463,0.8964671939645352,0.8123611632219343,0.8519742069886673,0.9458633931538176,False,False,False,False,False,False,False,False,False,False
uniform_75%,0.07765492796897888,0.9432356884983022,0.8925695902409237,0.9510183442890655,0.9355793774467549,0.07250940799713135,0.9470585975354201,0.899440933102902,0.9602137056145085,0.9342590727997424,False,False,False,False,False,False,False,False,False,False
uniform_50%,0.07818132638931274,0.9411581422952444,0.8888561926852672,0.9476447631567484,0.9347597194553248,0.06723541021347046,0.9508847583376326,0.9063682621090471,0.9617019041582837,0.9403082466592286,False,False,False,False,False,False,False,False,False,False
uniform_25%,0.08101850748062134,0.939615601437289,0.8861084741635984,0.9495127046089809,0.9299226918237548,0.07158970832824707,0.9476774681514016,0.9005579938373376,0.9587723243062647,0.9368364525956988,False,False,False,False,False,False,False,False,False,False
uniform_3%,0.6225979626178741,0.0,0.0,0.0,0.0,0.6114232540130615,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False
IPAD_eq_75%,0.055759966373443604,0.9446626610521776,0.8951286249323953,0.9487385602140728,0.940621633220822,0.05185297131538391,0.9483804213562063,0.9018284183899197,0.9486173733644178,0.9481435876933565,True,False,False,False,False,False,False,False,False,False
IPAD_eq_50%,0.05697879195213318,0.944141750443075,0.8941936579453443,0.9469141203392112,0.9413855670146205,0.04975306987762451,0.9512167443849975,0.9069717115451158,0.956883638398401,0.9456165766091842,False,False,False,False,False,False,False,False,False,False
IPAD_eq_25%,0.06194522976875305,0.9386815806324179,0.8844485910192337,0.947683151643868,0.9298494035263066,0.05584448575973511,0.9444196886678093,0.8946924061854742,0.9431146403483707,0.945728353750404,False,False,False,False,False,False,False,False,False,False
IPAD_eq_3%,0.18471422791481018,0.8937055722770806,0.8078370006044328,0.8683850730079586,0.9205470171610665,0.1711624562740326,0.9036079987936901,0.8241650776360021,0.886709581263873,0.9211630105980304,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_75%,0.05897098779678345,0.9431635747825987,0.8924404498913643,0.9537951452638538,0.9327664032225941,0.04984137415885925,0.952009250855732,0.908413792424304,0.9584624150143929,0.9456424016629758,False,False,False,False,False,False,False,False,False,False
IPAD1_L1_50%,0.05701243877410889,0.944339349602669,0.8945482141891311,0.9480536462981715,0.9406540431669117,0.05221417546272278,0.9489585486319305,0.902874522595408,0.9489018714915508,0.949015232543274,False,False,False,False,False,False,False,False,False,False
